ident,lat,lon,label,type
02FA,28.5267,-81.8748,Groveland,small_airport
02FD,30.9510,-86.6356,Baker,small_airport
02GA,34.2026,-83.4290,Commerce,small_airport
02GE,34.1753,-84.9244,Euharlee,small_airport
02HI,21.3584,-157.9479,Honolulu,heliport
02IA,42.0561,-93.8780,Boone,heliport
02ID,44.5555,-115.3050,Cascade,small_airport
02II,40.0623,-86.2105,Westfield,small_airport
02IN,40.2089,-85.5408,Muncie,small_airport
02IS,42.2746,-87.9573,Libertyville,heliport
02KS,39.2214,-96.0571,Saint Marys,small_airport
02KT,38.1814,-83.4433,Morehead,heliport
02KY,38.1903,-84.9064,Frankfort,heliport
02LA,32.5315,-93.6599,Bossier City,heliport
02LS,30.1483,-91.9190,Broussard,heliport
02MA,41.4196,-70.9270,Cuttyhunk,heliport
02MD,38.6725,-76.7097,Brandywine,small_airport
02ME,43.5375,-70.9307,Acton,small_airport
02MI,43.1571,-85.1485,Greenville,small_airport
02MO,39.0500,-91.0335,Troy,small_airport
02MS,34.0957,-90.8461,Rochdale,small_airport
02NE,41.0745,-96.9045,Valparaiso,small_airport
02NH,44.6571,-71.2191,Dummer,seaplane_base
02NM,32.0907,-108.8707,Animas,small_airport
02NR,35.5922,-77.3774,Greenville,heliport
02NV,41.2996,-118.9267,Winnemucca,small_airport
02NY,43.1326,-75.6555,Durhamville,heliport
02OH,41.3764,-83.0833,Fremont,small_airport
02OI,41.8020,-80.5654,Conneaut,small_airport
02OL,34.8114,-95.3077,Wilburton,heliport
02OR,45.6815,-121.3160,The Dalles,small_airport
26PA,40.4036,-77.5566,Honey Grove,heliport
02PA,40.4383,-79.7700,Monroeville,heliport
02PN,40.0696,-75.4552,Berwyn,heliport
02RI,41.4579,-71.3049,Newport,heliport
02SC,32.7602,-81.2259,Estill,small_airport
02T,45.7691,-112.9820,Wise River,small_airport
02TA,28.7222,-95.8758,Matagorda,heliport
02TE,32.3954,-96.8642,Waxahachie,heliport
02TN,35.7804,-86.5855,Rockvale,small_airport
02UT,41.3693,-113.8410,Lucin,small_airport
02VA,38.4357,-77.8572,Culpeper,small_airport
02VG,36.6388,-82.1167,Bristol,heliport
02WA,47.1523,-122.0940,South Prairie,small_airport
02WI,45.0319,-92.6558,Hudson,small_airport
02WN,48.7458,-119.3190,Tonasket,small_airport
02XA,33.5913,-95.8829,Honey Grove,small_airport
03AA,61.5561,-149.2845,Palmer,heliport
03AK,60.7272,-151.1328,Kenai,seaplane_base
03AL,34.6626,-86.0468,Scottsboro,heliport
03AR,34.3576,-92.7885,Malvern,heliport
03AZ,31.4310,-110.0881,Hereford,small_airport
03CA,32.7795,-117.0070,La Mesa,heliport
03FA,27.3531,-81.4081,Lake Placid,small_airport
03GA,32.5616,-81.8551,Statesboro,small_airport
03GE,34.5232,-83.9751,Dahlonega,heliport
03ID,44.7940,-116.5315,Council,small_airport
03II,37.9620,-87.7789,Mount Vernon,small_airport
03IL,41.4023,-87.8167,Monee,small_airport
03IN,40.1800,-86.0125,Arcadia,small_airport
03IS,38.9050,-90.1734,Alton,heliport
03KS,39.8647,-95.2641,Highland,heliport
03KY,37.7961,-87.5386,Henderson,small_airport
03LA,30.1996,-91.1279,Carville,heliport
03LS,32.1590,-91.7080,Winnsboro,heliport
03M,44.3209,-69.8895,East Winthrop,seaplane_base
03MA,42.3934,-72.5516,Hadley,small_airport
03MD,39.5184,-76.3460,Bel Air,heliport
03ME,44.0843,-70.6269,Harrison,small_airport
03MI,43.5509,-83.8622,Bay City,heliport
03MN,43.6252,-95.2247,Lakefield,small_airport
03MS,32.3188,-90.8832,Vicksburg,heliport
3MT7,47.2673,-111.7175,Cascade,small_airport
03MU,38.4925,-94.4125,Archie,small_airport
03NC,34.1042,-77.9059,Carolina Beach,small_airport
03ND,48.6264,-97.8290,Edinburg,small_airport
03NE,41.5464,-99.3312,Comstock,small_airport
03NH,42.8154,-71.1244,Milford,heliport
03NM,36.8624,-104.4429,Raton,heliport
03NR,35.6303,-78.5039,Clayton,heliport
03NV,40.5844,-115.2980,Ruby Valley,small_airport
03NY,40.9583,-72.7173,Riverhead,small_airport
03OH,41.4169,-83.0183,Fremont,small_airport
03OI,41.4203,-81.5996,Garfield Heights,heliport
03OK,36.0413,-96.1615,Sapulpa,small_airport
03OL,35.0123,-97.7027,Alex,small_airport
03OR,45.8554,-117.4840,Troy,small_airport
03PA,40.1629,-75.4657,Collegeville,heliport
03PN,41.0669,-76.1808,Berwick,heliport
03PR,39.0659,-94.9384,Bonner Springs,small_airport
K03S,45.4016,-122.2288,Sandy,small_airport
03SC,33.8650,-78.6619,Little River,heliport
03TE,27.4908,-98.6696,Hebbronville,small_airport
03TN,35.9225,-83.5794,Sevierville,heliport
03TS,31.4658,-100.4340,San Angelo,heliport
03TT,29.6321,-95.9325,Orchard,small_airport
03TX,29.5809,-95.3051,Pearland,heliport
03UT,37.1144,-109.9901,Mexican Hat,small_airport
03WA,47.4082,-117.3720,Spangle,small_airport
03WN,45.8750,-120.6700,Goldendale,small_airport
03WT,48.5249,-122.9124,Lopez Island,heliport
03WY,44.3679,-104.5106,Sundance,small_airport
03XA,31.7574,-106.3469,El Paso,heliport
03XS,31.3181,-100.7540,Mertzon,small_airport
04AA,60.5358,-150.8114,Soldotna,small_airport
04AL,33.6264,-85.9672,Anniston,heliport
04AN,61.7375,-148.7007,Sutton,small_airport
04AR,34.5742,-92.5861,Benton,heliport
04CA,34.5666,-117.6707,Palmdale,small_airport
04CL,33.0817,-116.4410,Julian,small_airport
04CT,41.7551,-73.0524,Harwinton,heliport
04FA,25.5587,-80.5151,Homestead,small_airport
04FD,27.9294,-82.3370,Brandon,heliport
04FL,29.2404,-81.2225,Ormond Beach,small_airport
04GA,33.8324,-83.5623,Monroe,heliport
K04I,39.9115,-83.1886,Columbus,small_airport
04IA,41.0883,-92.0546,Packwood,small_airport
04ID,43.8770,-116.5384,Emmett,small_airport
04IL,40.6375,-89.0070,Hudson,small_airport
04IN,41.7014,-85.1131,Angola,seaplane_base
04IS,40.1786,-88.5690,Mansfield,small_airport
04KY,37.1351,-85.7894,Hiseville,small_airport
04LA,30.0510,-90.7038,Lutcher,heliport
04LS,30.4461,-91.1053,Baton Rouge,heliport
04MA,42.8109,-71.1410,Haverhill,small_airport
04MD,39.5181,-75.8214,Chesapeake City,heliport
04ME,44.6667,-69.8939,Mercer,small_airport
04MI,42.5345,-84.6283,Eaton Rapids,small_airport
04MN,47.9858,-94.6869,Kelliher,small_airport
04MS,32.9405,-90.8367,Rolling Fork,small_airport
04MT,47.1375,-106.4881,Cohagen,small_airport
04NC,35.7392,-78.7822,Cary,heliport
04NE,41.1600,-101.2990,Sarben,small_airport
04NJ,39.5968,-75.2335,Elmer,small_airport
04NR,34.7757,-77.3922,Jacksonville,heliport
04NV,35.7555,-115.6650,Sandy Valley,small_airport
04NY,42.2623,-73.6962,Hudson,small_airport
04OG,45.5308,-123.0856,Forest Grove,heliport
04OK,36.1153,-97.0795,Stillwater,heliport
04OR,44.7499,-120.2010,Mitchell,small_airport
04PA,39.8793,-75.2288,Philadelphia,heliport
04PN,40.0307,-75.6302,Exton,heliport
04SC,34.8422,-82.6071,Easley,heliport
04SD,44.9930,-101.2431,Eagle Butte,heliport
04TE,29.6997,-95.3907,Houston,heliport
04TN,36.1833,-82.6789,Chuckey,small_airport
04TS,30.5533,-97.6054,Round Rock,heliport
04TT,29.7131,-99.5456,Utopia,small_airport
04TX,31.7328,-97.3693,China Spring,small_airport
04UT,37.0067,-110.7947,Navajo Mountain,small_airport
K04V,38.0991,-106.1744,Saguache,small_airport
04VA,36.8982,-82.0785,Lebanon,heliport
04VG,37.7065,-77.2016,Manquin,small_airport
04VT,44.4011,-72.2636,Cabot,small_airport
K04W,46.0228,-92.8954,Hinckley,small_airport
04WA,47.5818,-117.4371,Spokane,small_airport
04WI,42.5234,-88.0167,Bristol,small_airport
04WN,46.9584,-119.6386,Royal City,small_airport
04WV,39.6536,-79.9561,Morgantown,heliport
04XA,33.2839,-98.4029,Jermyn,small_airport
05AK,61.6683,-149.1880,Palmer,small_airport
05AL,31.2312,-85.6497,Fort Rucker/Wicksburg,heliport
05AN,64.9605,-147.6011,Fox,small_airport
05AR,36.0006,-93.5703,Kingston,small_airport
05AZ,32.6835,-114.6343,Yuma,heliport
05B,47.1589,-67.9320,Van Buren,seaplane_base
05CA,34.1365,-118.7147,Calabasas,heliport
05CL,38.6107,-122.3910,Pope Valley,small_airport
05CO,40.2150,-104.9844,Mead,small_airport
05CT,41.7737,-73.1162,Torrington,heliport
05FA,30.9189,-86.2183,Florala,small_airport
05FD,25.9609,-80.1392,North Miami Beach,heliport
05FL,26.5202,-81.4103,La Belle,small_airport
05GA,32.0714,-84.7144,Richland,small_airport
05IA,43.1375,-93.0683,Nora Springs,small_airport
05ID,45.9141,-114.8360,Elk City,small_airport
05IL,41.1567,-88.0167,Bonfield,small_airport
05IN,39.6420,-86.5042,Belleville,small_airport
05IS,39.7259,-89.2640,Mount Auburn,small_airport
05KS,37.2662,-95.9592,Elk City,small_airport
05KT,38.1871,-84.9301,Frankfort,small_airport
05KY,37.5358,-84.4073,Paint Lick,small_airport
05LA,32.2653,-91.6978,Winnsboro,small_airport
05LL,41.7492,-87.9358,Willowbrook,heliport
05LS,31.2521,-92.4757,Alexandria,small_airport
05M,34.7198,-97.2142,Pauls Valley,heliport
05MA,42.6912,-70.9123,Ipswich,heliport
05MD,39.2442,-76.1987,Chestertown,small_airport
